                  dc  |              bankid  |                                        dc bank ID  | 1300   |                  Di  
                  dc  |              sector  |                                      sector index  |    1   |                  Di  
                  dc  |               layer  |                                       layer index  |    2   |                  Di  
                  dc  |                wire  |                                        wire index  |    3   |                  Di  
                  dc  |                 tdc  |                                         tdc value  |    4   |                  Di  
                  dc  |                  LR  |Left/Right: -1 (right) if the track is between the beam and the closest wire  |    5   |                  Di  
                  dc  |                doca  |2D distance between closest track step to the wire hit  |    6   |                  Dd  
                  dc  |               sdoca  |                                      smeared doca  |    7   |                  Dd  
                  dc  |                time  |              doca / drift velocity in each region  |    8   |                  Dd  
                  dc  |               stime  |             sdoca / drift velocity in each region  |    9   |                  Dd  
                  dc  |                hitn  |                                        hit number  |   99   |                  Di  
                 ftm  |              bankid  |                                       ftm bank ID  |  700   |                  Di  
                 ftm  |              sector  |                                     sector number  |    1   |                  Di  
                 ftm  |               layer  |                                      layer number  |    2   |                  Di  
                 ftm  |               strip  |                                      strip number  |    3   |                  Di  
                 ftm  |                 adc  |                                               adc  |    4   |                  Di  
                 ftm  |                 tdc  |                                               tdc  |    5   |                  Di  
                 ftm  |                hitn  |                                        hit number  |   99   |                  Di  
             ft_hodo  |              bankid  |                                   ft_hodo bank ID  |  800   |                  Di  
             ft_hodo  |              sector  |                                     sector number  |    1   |                  Di  
             ft_hodo  |               layer  |                                      layer number  |    2   |                  Di  
             ft_hodo  |           component  |                                  component number  |    3   |                  Di  
             ft_hodo  |                 adc  |                                               adc  |    4   |                  Di  
             ft_hodo  |                 tdc  |                                               tdc  |    5   |                  Di  
             ft_hodo  |                hitn  |                                        hit number  |   99   |                  Di  
              ft_cal  |              bankid  |                                    ft_cal bank ID  |  900   |                  Di  
              ft_cal  |              sector  |                                     sector number  |    1   |                  Di  
              ft_cal  |               layer  |                                      layer number  |    2   |                  Di  
              ft_cal  |           component  |                                  component number  |    3   |                  Di  
              ft_cal  |                 adc  |                                               adc  |    4   |                  Di  
              ft_cal  |                 tdc  |                                               tdc  |    5   |                  Di  
              ft_cal  |                hitn  |                                        hit number  |   99   |                  Di  
                ftof  |              bankid  |                                      ftof bank ID  | 1000   |                  Di  
                ftof  |              sector  |                                     sector number  |    1   |                  Di  
                ftof  |               layer  |                layer number (1: 1A, 2: 1B, 3: 2B)  |    2   |                  Di  
                ftof  |              paddle  |                                     paddle number  |    3   |                  Di  
                ftof  |                ADCL  |                                          ADC Left  |    4   |                  Di  
                ftof  |                ADCR  |                                         ADC Right  |    5   |                  Di  
                ftof  |                TDCL  |                                          TDC Left  |    6   |                  Di  
                ftof  |                TDCR  |                                         TDC Right  |    7   |                  Di  
                ftof  |               ADCLu  |                             ADC Left  - unsmeared  |    8   |                  Di  
                ftof  |               ADCRu  |                             ADC Right - unsmeared  |    9   |                  Di  
                ftof  |               TDCLu  |                             TDC Left  - unsmeared  |   10   |                  Di  
                ftof  |               TDCRu  |                             TDC Right - unsmeared  |   11   |                  Di  
                ftof  |                hitn  |                                        hit number  |   99   |                  Di  
                  ec  |              bankid  |                                        ec bank ID  | 1600   |                  Di  
                  ec  |              sector  |                                     sector number  |    1   |                  Di  
                  ec  |               stack  |                                      stack number  |    2   |                  Di  
                  ec  |                view  |                                              view  |    3   |                  Di  
                  ec  |               strip  |                                      strip number  |    4   |                  Di  
                  ec  |                 ADC  |                                          ADC Left  |    5   |                  Di  
                  ec  |                 TDC  |                                         TDC Right  |    6   |                  Di  
                  ec  |                hitn  |                                        hit number  |   99   |                  Di  
                pcal  |              bankid  |                                      pcal bank ID  | 1500   |                  Di  
                pcal  |              sector  |                                     sector number  |    1   |                  Di  
                pcal  |              module  |                                     module number  |    2   |                  Di  
                pcal  |                view  |                                              view  |    3   |                  Di  
                pcal  |               strip  |                                      strip number  |    4   |                  Di  
                pcal  |                 ADC  |                                               ADC  |    5   |                  Di  
                pcal  |                 TDC  |                                               TDC  |    6   |                  Di  
                pcal  |                hitn  |                                        hit number  |   99   |                  Di  
                htcc  |              bankid  |                                      htcc bank ID  |  600   |                  Di  
                htcc  |              sector  |                                     clas12 sector  |    1   |                  Di  
                htcc  |                ring  |                                       theta index  |    2   |                  Di  
                htcc  |                half  |                                       half-sector  |    3   |                  Di  
                htcc  |                nphe  |                          number of photoelectrons  |    4   |                  Di  
                htcc  |                time  |                           average time of the hit  |    5   |                  Dd  
                htcc  |                hitn  |                                        hit number  |   99   |                  Di  
                ctof  |              bankid  |                                      ctof bank ID  |  400   |                  Di  
                ctof  |              paddle  |                                     paddle number  |    1   |                  Di  
                ctof  |                ADCU  |                                      ADC Upstream  |    2   |                  Di  
                ctof  |                ADCD  |                                    ADC Downstream  |    3   |                  Di  
                ctof  |                TDCU  |                                      TDC Upstream  |    4   |                  Di  
                ctof  |                TDCD  |                                    TDC Downstream  |    5   |                  Di  
                ctof  |               ADCUu  |                            ADC Upstream Unsmeared  |    6   |                  Di  
                ctof  |               ADCDu  |                          ADC Downstream Unsmeared  |    7   |                  Di  
                ctof  |               TDCUu  |                            TDC Upstream Unsmeared  |    8   |                  Di  
                ctof  |               TDCDu  |                          TDC Downstream Unsmeared  |    9   |                  Di  
                ctof  |                hitn  |                                        hit number  |   99   |                  Di  
